rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
56,full surahs,24.988829756243874,Other,US,16.744366944947544,17.378103213722298,25.0,81.41025641025641,174158679.0,1,0.0,174158679.0,0.0,0.0
57,the bill simmons,24.357718848374727,Other,Unknown,6.571966688963688,36.12790828869518,50.0,38.46153846153847,68355229.0,2,33299295.0,0.0,0.0,35055934.0
58,a closer look late night,24.33428459104454,Other,US,16.00049655077654,16.60607901417879,25.0,80.12820512820514,166421660.0,1,0.0,166421660.0,0.0,0.0
59,distractible,24.247639811169684,Comedy,Unknown,5.943576577912619,10.924712156521407,50.0,90.9090909090909,61819324.0,2,58583023.0,0.0,3236301.0,0.0
60,유선배 복지 콘텐츠 핑계고,24.194373124918464,Other,KR,15.893356690864039,16.494884153842488,25.0,79.48717948717949,165307295.0,1,0.0,165307295.0,0.0,0.0
61,언알바,23.907137967996885,Other,KR,15.578005932596511,16.16759808541622,25.0,78.84615384615384,162027322.0,1,0.0,162027322.0,0.0,0.0
62,подкасти 24 каналу,23.678067766251225,Other,UA,15.34485904462686,15.92562711712486,25.0,78.2051282051282,159602354.0,1,0.0,159602354.0,0.0,0.0
63,politik wirtschaft,23.573322966517424,Other,DE,15.287419834773763,15.866013963601432,25.0,77.56410256410257,159004927.0,1,0.0,159004927.0,0.0,0.0
64,farron balanced,23.446641467260307,Other,US,15.19897773672236,15.774224532957165,25.0,76.92307692307693,158085038.0,1,0.0,158085038.0,0.0,0.0
65,malam mencekam,23.178603558537226,Other,ID,14.910758231220573,15.475096573609054,25.0,76.28205128205127,155087258.0,1,0.0,155087258.0,0.0,0.0
66,the rest is history,23.170809209839057,Education,Unknown,2.1345903194965588,18.209877942761562,50.0,84.61538461538461,22201940.0,2,0.0,0.0,4532379.0,17669561.0
67,dan wootton outspoken,22.91154425580193,Other,GB,14.714517203975324,15.271428269071343,25.0,75.0,153046149.0,1,0.0,153046149.0,0.0,0.0
68,подкасти на 24 каналі,22.760734169423447,Other,UA,14.591974447886846,15.144247547912926,25.0,74.35897435897436,151771578.0,1,0.0,151771578.0,0.0,0.0
69,sport shorts,22.59125555459854,Other,AU,14.443047672651096,14.98968423239059,25.0,73.71794871794873,150222586.0,1,0.0,150222586.0,0.0,0.0
70,bulwark takes,22.087917151649332,Other,US,13.822280652071054,14.345422589607496,25.0,73.07692307692307,143765969.0,1,0.0,143765969.0,0.0,0.0
71,legal af,21.947583022654026,Other,US,13.714543447527628,14.233607776502335,25.0,72.43589743589743,142645391.0,1,0.0,142645391.0,0.0,0.0
72,bad friends,21.931290405957697,Comedy,Unknown,3.650175174557888,6.591620153999835,50.0,87.87878787878788,37965585.0,2,35347113.0,0.0,2618472.0,0.0
73,کلیپ کوتاه استند آپ کمدیهای مکس امینی,21.778360944394365,Other,US,13.565979232504851,14.079420743273799,25.0,71.7948717948718,141100170.0,1,0.0,141100170.0,0.0,0.0
74,the adam mockler,21.5952703810474,Other,US,13.397814845077626,13.904891715619843,25.0,71.15384615384616,139351087.0,1,0.0,139351087.0,0.0,0.0
75,nbc nightly news,21.206229460334598,Other,US,12.938583157529607,13.428279151438705,25.0,70.51282051282051,134574604.0,1,0.0,134574604.0,0.0,0.0
76,свежие интервью,21.135797565684708,Other,TR,12.929637986578976,13.418995426078675,25.0,69.87179487179486,134481565.0,1,0.0,134481565.0,0.0,0.0
77,安住紳一郎の日曜天国,20.78389558453421,Entertainment,Unknown,1.4883435170545825,25.1986191300346,25.0,100.0,15480307.0,1,0.0,0.0,15480307.0,0.0
78,the ramsey highlights,20.77511335741897,Other,US,12.51048251855218,12.98397587532978,25.0,69.23076923076923,130121916.0,1,0.0,130121916.0,0.0,0.0
79,last on the left,20.753539339301447,True Crime,Unknown,4.718311212487728,8.638585331954586,50.0,66.66666666666666,49075301.0,2,46323824.0,0.0,2751477.0,0.0
80,hablando huevadas,20.540445882929916,Other,PE,12.269425068608776,12.733794948255841,25.0,68.58974358974359,127614670.0,1,0.0,127614670.0,0.0,0.0
81,the dan le batard,20.51576215781118,Other,Unknown,4.076488298425371,24.11835927376172,50.0,36.53846153846153,42399681.0,2,18996953.0,0.0,0.0,23402728.0
82,murder mystery makeup,20.502662880707668,Other,US,8.91502528514731,8.430879395798282,50.0,43.58974358974359,92725454.0,2,8233447.0,84492007.0,0.0,0.0
